evaluation_id,vendor_id,vendor,category_id,evaluation_category,criterion_id,evaluation_criterion,evaluation_status,assigned_score,rating,score_justification,evidence_summary,source_type,source_url,evidence_confidence,evaluation_notes
E0042,V003,Glean AI,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Allows granular, step-level assignment of specialized reasoning models versus standard generation models. Availability depends on hosting environment.","Glean's Model Hub supports commercial and open-source models from Anthropic (Claude), OpenAI (GPT-4, o3), Google (Gemini), Amazon, and Meta. Models can be configured globally, per agent, or independently for individual workflow steps.",Official Documentation,1](https://docs.glean.com/administration/llms) ; [2](https://docs.glean.com/agents/create-powerful-agent),High,"Allows granular, step-level assignment of specialized reasoning models versus standard generation models. Availability depends on hosting environment."
E0043,V003,Glean AI,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. MCP gateway compatibility enables standard agent-to-agent tool invocation across internal workflows and external agent platforms.,Glean supports Sub-agents as direct workflow steps (allowing parent agents to delegate tasks and ingest results) and enables agents to be exposed as callable tools over the Model Context Protocol (MCP) gateway for external multi-agent systems.,Technical documentation and developer guides,1](https://docs.glean.com/agents/how-agents-work) ; [2](https://docs.glean.com/agents/concepts/memory) ; [3](https://docs.glean.com/administration/platform/mcp/agents-as-tools),High,MCP gateway compatibility enables standard agent-to-agent tool invocation across internal workflows and external agent platforms.
E0044,V003,Glean AI,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Cloud-Prem provides isolated customer cloud deployment rather than a traditional bare-metal/on-premise package.,"Glean is available as a fully managed SaaS deployment or as Customer-Hosted Cloud-Prem in the customer's own AWS or GCP VPC environment, with support for private networking to on-prem data sources and AWS KMS Customer Managed Keys (CMK).",Official Documentation,1](https://docs.glean.com/get-started/build/about-self-hosted) ; [2](https://docs.glean.com/security/cloud-prem/gcp/connecting-to-onprem-datasources) ; [3](https://docs.glean.com/security),High,Cloud-Prem provides isolated customer cloud deployment rather than a traditional bare-metal/on-premise package.
E0045,V003,Glean AI,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Exposes Glean enterprise knowledge and actions via both standard REST APIs and MCP interfaces (remote MCP noted in Beta).,"Glean provides 100+ native connectors (GitHub, Jira, Salesforce, Slack, Google Workspace, M365, Snowflake, Zendesk), standard REST APIs, and remote Model Context Protocol (MCP) server/gateway support to connect custom external tools.",Technical documentation and developer guides,1](https://docs.glean.com/get-started/setup/connect-data-sources) ; [2](https://docs.glean.com/administration/actions/connect-remote-mcp-servers-to-glean) ; [3](https://docs.glean.com/administration/tools/),High,Exposes Glean enterprise knowledge and actions via both standard REST APIs and MCP interfaces (remote MCP noted in Beta).
E0046,V003,Glean AI,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Strict identity, access control, and automated governance violation enforcement across all integrated enterprise data.","Features real-time enterprise permission mirroring (document-level ACLs), RBAC, SSO, administrator roles, audit logs, DLP policy enforcement, content-hiding APIs, SOC 2 Type II compliance, and granular publishing/background execution controls.",Technical documentation and developer guides,1](https://docs.glean.com/administration/identity/roles/about) ; [2](https://docs.glean.com/security/architecture/shared-responsibility) ; [3](https://developers.glean.com/api/client-api/governance/overview),High,"Strict identity, access control, and automated governance violation enforcement across all integrated enterprise data."
E0047,V003,Glean AI,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Applied by default to interactive write actions to prevent accidental or unauthorized data modifications.,"Glean enforces confirmation panels for write actions in interactive web sessions (allowing users to review, edit planned changes inline, approve, or cancel) and provides a dedicated ""Wait for User Input"" action for human confirmation workflows.",Official Documentation,1](https://docs.glean.com/agents/actions/human-in-the-loop-experience-for-actions) ; [2](https://docs.glean.com/agents/actions/glean/wait-for-user-input) ; [3](https://docs.glean.com/security/security-principles),High,Applied by default to interactive write actions to prevent accidental or unauthorized data modifications.
E0048,V003,Glean AI,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Strong operational observability and deep-linked source attribution; does not represent formal model feature-attribution explainability.,"Glean provides agent run history, OpenTelemetry instrumentation, step-level debug traces of tool payloads, deep-linked citations linking directly back to source documents, and an Agent Insights dashboard tracking adoption and user feedback.",Official Documentation,1](https://docs.glean.com/security/agents/background-agents) ; [2](https://docs.glean.com/user-guide/assistant/glean-chat/glean-chat-citations/deep-linked-citations) ; [3](https://docs.glean.com/agents/concepts/insights),High,Strong operational observability and deep-linked source attribution; does not represent formal model feature-attribution explainability.
E0049,V003,Glean AI,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Broad cross-industry coverage with specialized workflows for code search, ticket deflection, and CRM management.","Glean provides pre-built workflows and action packs across HR, IT service management, software engineering, finance, legal/contracts, recruiting, customer support, and sales ops (with deployments at Zillow, Duolingo, DNI, and McCarthy).",Customer case studies and implementation stories,1](https://docs.glean.com/user-guide/mcp/usage) ; [2](https://www.glean.com/resources/customer-stories/dni) ; [3](https://www.glean.com/resources/customer-stories/mccarthy-holdings-inc),High,"Broad cross-industry coverage with specialized workflows for code search, ticket deflection, and CRM management."
E0050,V003,Glean AI,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Demonstrates substantial productivity and time-saving gains; Forrester study was commissioned by Glean and customer metrics are self-reported.,"A Forrester Total Economic Impact study found a 141% three-year ROI, payback in under 6 months, and $26.6M in total benefits for a 10k-employee firm (saving up to 110 hrs/employee annually); Duolingo reported a 5x ROI and $1.1M in annual time savings.","Analyst reports (e.g., Gartner, Forrester, IDC)",1](https://www.glean.com/resources/customer-stories/duolingo) ; [2](https://www.glean.com/resources/guides/forrester-study-the-total-economic-impact-of-glean) ; [3](https://www.glean.com/blog/the-enterprise-ai-copilot-playbook-for-business-leaders),High / Medium,Demonstrates substantial productivity and time-saving gains; Forrester study was commissioned by Glean and customer metrics are self-reported.
E0051,V003,Glean AI,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Verified enterprise adoption supporting thousands of concurrent users and agents across large-scale corp infrastructures.,"Glean scales automatically across SaaS and isolated Cloud-Prem environments, processing petabyte-scale search and agent workloads using distributed indexing, KV cache optimization for latency, and scalable MCP architectures (e.g., 3,400+ agents deployed at Zillow).",Official Documentation,1](https://docs.glean.com/get-started/build/about-self-hosted) ; [2](https://www.glean.com/resources/customer-stories/zillow) ; [3](https://www.glean.com/blog/glean-kv-caches-llm-latency),High,Verified enterprise adoption supporting thousands of concurrent users and agents across large-scale corp infrastructures.
E0052,V004,K2view,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Agents execute multi-step flows and utilize automated error-handling/reflection routines to construct context.,"K2view Data Agent Builder and AI Fusion enable autonomous agents to analyze incoming context, determine which enterprise data to retrieve, sequence actions, execute dynamic Python scripts, and select tools (text-to-SQL, APIs, data services, vector search) via an MCP orchestrator without manual intervention.",Official Documentation,1](https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html),High,Agents execute multi-step flows and utilize automated error-handling/reflection routines to construct context.
E0053,V004,K2view,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Evaluated,3.0,Adequate,Assigned score of 3 based on the documented evidence for this criterion. Evaluated via pre-deployment benchmark scoring and regression testing; no official evidence of autonomous continual self-training from live production interactions.,"The AI Fusion Evaluation module provides multi-turn testing frameworks, LLM-as-judge scoring (accuracy, relevance, clarity), and continuous regression testing to evaluate and refine agent prompts/performance before deployment.",Official Documentation,1](https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html),High / Medium,Evaluated via pre-deployment benchmark scoring and regression testing; no official evidence of autonomous continual self-training from live production interactions.
E0054,V004,K2view,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports runtime continuity and persistent entity-level business context; does not provide a separate personal long-term memory engine.,"K2view maintains real-time operational business context by organizing enterprise data into entity-based Micro-Databases (each customer/device maintains an isolated, always-fresh dataset) and vector stores. Its MCP orchestrator applies memory for multi-turn conversation continuity and session recall.",Official Documentation,1](https://www.k2view.com/solutions/ai-ready-data/),High,Supports runtime continuity and persistent entity-level business context; does not provide a separate personal long-term memory engine.
E0055,V004,K2view,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Supported by the platform's semantic enrichment, data grounding layer, and dynamic planning capabilities.","Utilizes chain-of-thought prompt orchestration, prompt chaining, ReAct patterns, reflection, and schema-aware semantic query generation to break down complex user requests into discrete execution steps and SQL actions within an agentic RAG architecture.",Technical documentation and developer guides,1](https://www.k2view.com/what-is-agentic-ai/),High,"Supported by the platform's semantic enrichment, data grounding layer, and dynamic planning capabilities."
E0056,V004,K2view,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Broadway flows can be nested, exported, and reused as discrete actors across pipelines.","The Broadway orchestration engine coordinates multi-step business logic, data pipelines, and agent flows using configurable Stages and reusable modular Actors. K2view's MCP orchestrator plans processes, executes multi-stage data flows, and automates Data-as-a-Service delivery.",Official Documentation,1](https://support.k2view.com/Academy/articles/19_Broadway/01_broadway_overview.html),High,"Broadway flows can be nested, exported, and reused as discrete actors across pipelines."
E0057,V004,K2view,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Generally available visual no-code environment for rapid agent prototyping and deployment.,"K2view Data Agent Builder provides a low-code/no-code visual environment in K2studio, featuring drag-and-drop workflow assembly, prebuilt agent templates, AI-assisted data-product design, and over 200 prebuilt data-processing functions.",Official Documentation,1](https://www.k2view.com/news-blog/k2view-introduces-data-agent-builder),High,Generally available visual no-code environment for rapid agent prototyping and deployment.
E0058,V004,K2view,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Accelerates testing and debugging by allowing real-time inspection of intermediate states, tokens, and data transformations.","Provides a built-in chat playground, interactive visual debugging, step-by-step execution traces, live token and payload inspection, prebuilt agent templates, over 200 data functions, and centralized MCP connection setup via Studio AI.",Official Documentation,1](https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html),High,"Accelerates testing and debugging by allowing real-time inspection of intermediate states, tokens, and data transformations."
E0059,V004,K2view,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Centralized configuration interface supports multi-LLM routing, aliases, and connector updates.","Features an LLM-agnostic architecture with out-of-the-box connectors for commercial and open-source models (installed via K2exchange). K2view Studio AI allows administrators to assign different models to specific agents, set model aliases, and configure fallback priority lists.",Technical documentation and developer guides,1](https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html),High,"Centralized configuration interface supports multi-LLM routing, aliases, and connector updates."
E0060,V004,K2view,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Organizes heterogeneous sub-agents into structured, hierarchical execution paths and collaborative workflows.","Data Agent Builder and AI Fusion support multi-agent system design and orchestration within Broadway flows, allowing specialized sub-agents and tool-calling agents to collaborate, share context, and execute tasks across structured hierarchical pipelines.",Official Documentation,1](https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html),High,"Organizes heterogeneous sub-agents into structured, hierarchical execution paths and collaborative workflows."
E0061,V004,K2view,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Fully covers self-hosted Kubernetes, managed cloud spaces, hybrid networks, and air-gapped on-premises deployments.","Supports cloud (AWS, Azure, GCP), hybrid, on-premises, and multi-cloud deployment models. Deployments are managed across Kubernetes-orchestrated container environments (via K2cloud Orchestrator), supporting data-mesh and data-fabric topologies.",Official Documentation,1](https://support.k2view.com/Academy/articles/44_administration_and_operations/Platform_Behavior_and_Orchestration/Technical_Note_K2Cloud_Space_State_Transition_and_Status.pdf),High,"Fully covers self-hosted Kubernetes, managed cloud spaces, hybrid networks, and air-gapped on-premises deployments."
E0062,V004,K2view,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Native MCP server support allows LLMs to query databases, retrieve docs, and call enterprise APIs with governed context.","Integrates with enterprise systems via Anthropic Model Context Protocol (MCP), REST/Web Service APIs, CDC, streaming message brokers, and native database connectors. Data products can expose governed business entity data directly as MCP tools.",Technical documentation and developer guides,1](https://www.k2view.com/news-blog/k2view-introduces-data-agent-builder),High,"Native MCP server support allows LLMs to query databases, retrieve docs, and call enterprise APIs with governed context."
E0063,V004,K2view,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Entity-level isolation and dynamic masking ensure strict data privacy and regulatory compliance (SOC/GDPR/HIPAA-ready).,"Data security is enforced through individually 256-bit encrypted Micro-Databases, dynamic on-the-fly data masking, role-based access control (RBAC), entity-level isolation boundaries (preventing cross-entity data leakage), and complete audit logging of agent operations.",Technical documentation and developer guides,1](https://www.k2view.com/blog/data-masking-vs-encryption),High,Entity-level isolation and dynamic masking ensure strict data privacy and regulatory compliance (SOC/GDPR/HIPAA-ready).
E0064,V004,K2view,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Administrators configure role-based approval steps and interactive checkpoints directly in data pipelines.,"Supports human-in-the-loop controls within Broadway flows and task orchestration, enabling approval stages, role-scoped guided execution interfaces, parameter overrides, and manual review checkpoints before operations proceed.",Official Documentation,1](https://support.k2view.com/Academy/articles/TDM/tdm_gui/14_task_overview.html),High,Administrators configure role-based approval steps and interactive checkpoints directly in data pipelines.
E0065,V004,K2view,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Delivers end-to-end operational observability, token tracking, and trace-level visibility (not formal model feature attribution).","Observation Dashboard tracks agent activity, conversation pathways, token consumption, sentiment, satisfaction, resolution, and risk levels. AI Agent History logs requests, responses, and injected context with drill-down trace views into individual session steps.",Technical documentation and developer guides,1](https://support.k2view.com/Academy/articles/AI_fusion/04_observation/01_observation_dashboard.html),High,"Delivers end-to-end operational observability, token tracking, and trace-level visibility (not formal model feature attribution)."
E0066,V004,K2view,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Features prebuilt entity schemas and vertical customer service solutions deployed at major telcos like Cellcom and Pelephone.,"Provides domain-specific data models and solutions for telecommunications, financial services, insurance, healthcare, and retail (e.g., Customer 360, billing inquiry automation, Customer Service Rep Assist).",Customer case studies and implementation stories,1](https://www.k2view.com/solutions/ai-chatbot-for-customer-service),High,Features prebuilt entity schemas and vertical customer service solutions deployed at major telcos like Cellcom and Pelephone.
E0067,V004,K2view,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Demonstrates quantifiable operational benefits in customer support; metrics are customer-reported rather than independently audited.,"Customer deployments (e.g., Cellcom, Pelephone) demonstrate operational impacts including shorter wait/handling times, higher first-contact resolution (FCR), reduced representative ramp-up time, and accelerated AI service rollout, with rapid initial production delivery.",Customer case studies and implementation stories,1](https://www.k2view.com/solutions/ai-chatbot-for-customer-service),High / Medium,Demonstrates quantifiable operational benefits in customer support; metrics are customer-reported rather than independently audited.
E0068,V004,K2view,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Proven high-throughput scalability in tier-1 enterprise production environments.,Distributed Micro-Database architecture enables sub-second query retrieval and linearly scales across millions to billions of concurrent entities (over 4B Micro-Databases deployed; 7B+ requests served daily) handling petabyte-scale data on Kubernetes.,Technical documentation and developer guides,1](https://www.k2view.com/blog/implementing-k2view-is-quick-and-easy/),High,Proven high-throughput scalability in tier-1 enterprise production environments.
E0069,V005,Salesforce,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Operates autonomously within configured Topic instructions, action targets, and guardrails to perform tasks rather than just generate responses.","Agentforce operates autonomously via the Atlas Reasoning Engine, analyzing incoming user queries or events, classifying intents under configured Topics, and independently selecting and executing actions (such as Salesforce Flows, Apex, prompt templates, or API calls) without scripted decision trees.",Official Documentation,1](https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-actions.html) ; [2](https://help.salesforce.com/s/articleView?id=005134880&language=en_US&type=1),High,"Operates autonomously within configured Topic instructions, action targets, and guardrails to perform tasks rather than just generate responses."
E0070,V005,Salesforce,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Evaluated,3.0,Adequate,Assigned score of 3 based on the documented evidence for this criterion. Supports iterative human-guided refinement and automated regression testing; does not represent autonomous continual model retraining from live production data.,"Agentforce logs prompts, responses, and trust signals in Data 360/Data Cloud. The Agentforce Testing Center and Connect APIs provide automated evaluation suites, custom scoring criteria, and simulated testing in sandboxes to iteratively refine prompts, instructions, and Agent Scripts based on feedback.",Technical documentation and developer guides,1](https://help.salesforce.com/s/articleView?id=sf.agent_supported_languages.htm&language=en_US&type=5) ; [2](https://developer.salesforce.com/docs/ai/agentforce/guide/testing-api-get-started.html),High,Supports iterative human-guided refinement and automated regression testing; does not represent autonomous continual model retraining from live production data.
E0071,V005,Salesforce,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Evidence supports real-time CRM/Data Cloud grounding and session state memory; does not establish general-purpose persistent long-term memory across independent sessions.,Context assembly combines multi-turn conversational history (via Agent Script variables and dialogue state tracking) with real-time semantic grounding from Salesforce CRM and Data Cloud records across session turns.,Technical documentation and developer guides,1](https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-variables.html) ; [2](https://help.salesforce.com/s/articleView?id=005134880&language=en_US&type=1),High,Evidence supports real-time CRM/Data Cloud grounding and session state memory; does not establish general-purpose persistent long-term memory across independent sessions.
E0072,V005,Salesforce,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Combines LLM reasoning with deterministic logic via Agent Script and Atlas dynamic tool selection.,"The Atlas Reasoning Engine employs a ReAct-based planning and reasoning framework that translates complex user goals into step-wise execution plans, dynamically orchestrates tool invocations, and assesses intermediate outcomes, treating execution plans as living documents adjusted during multi-step reasoning.",Technical documentation and developer guides,1](https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx-metadata.html) ; [2](https://www.salesforce.com/in/agentforce/what-is-agentic-ai/agentic-reasoning/),High,Combines LLM reasoning with deterministic logic via Agent Script and Atlas dynamic tool selection.
E0073,V005,Salesforce,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports visual flow authoring in Flow Builder as well as programmatic script definitions.,"Agentforce orchestrates business workflows using modular building blocks (Topics, Instructions, and Actions) and Agent Script. It supports deterministic action chaining, conditional branching, subagent routing, transitions, and direct connections to Salesforce Flow, Apex classes, MuleSoft APIs, and external REST endpoints.",Technical documentation and developer guides,1](https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-patterns.html) ; [2](https://help.salesforce.com/s/articleView?id=005134880&language=en_US&type=1),High,Supports visual flow authoring in Flow Builder as well as programmatic script definitions.
E0074,V005,Salesforce,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Includes conversational prompt-based agent generation, prebuilt templates, and visual configuration tools.","Agentforce Builder provides a declarative low-code/no-code graphical interface and built-in AI assistance to define agent topics, assign actions, configure natural-language instructions, and preview/test responses interactively using clicks.",Technical documentation and developer guides,1](https://help.salesforce.com/s/articleView?id=ai.agent_builder_tour.htm) ; [2](https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx.html),High,"Includes conversational prompt-based agent generation, prebuilt templates, and visual configuration tools."
E0075,V005,Salesforce,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports bi-directional synchronization between local developer projects and Salesforce orgs.,"Agentforce DX integrates with Salesforce CLI, Visual Studio Code extensions, Agent Script authoring, scratch orgs, visual Canvas, live draft previewing, and prebuilt reusable templates to streamline both pro-code and low-code agent creation and testing.",Technical documentation and developer guides,1](https://help.salesforce.com/s/articleView?id=ai.agent_builder_tour.htm) ; [2](https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx.html),High,Supports bi-directional synchronization between local developer projects and Salesforce orgs.
E0076,V005,Salesforce,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Requires Data Cloud enablement for external model registration and custom endpoint connections.,"Einstein 1 Studio Model Builder supports Bring Your Own Large Language Model (BYOLLM) and an LLM Open Connector, allowing organizations to connect external foundation models (such as OpenAI, Azure OpenAI, Anthropic Claude, Google Gemini) alongside Salesforce-hosted models, assignable per agent or subagent.",Technical documentation and developer guides,1](https://developer.salesforce.com/docs/ai/agentforce/guide/models-get-started.html) ; [2](https://help.salesforce.com/s/articleView?language=en_US&id=data.c360_a_ai_foundation_models.htm&type=5),High,Requires Data Cloud enablement for external model registration and custom endpoint connections.
E0077,V005,Salesforce,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Connected-subagent multi-agent orchestration is documented as a Beta service.,"Agentforce supports multi-agent architectures where specialized agents, subagents, and connected subagents collaborate, share context, delegate domain-specific subtasks, and coordinate across distinct business workflows in the same Salesforce org.",Technical documentation and developer guides,1](https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-blocks.html) ; [2](https://www.salesforce.com/in/agentforce/multi-agent-orchestration/),High,Connected-subagent multi-agent orchestration is documented as a Beta service.
E0078,V005,Salesforce,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Supports multi-channel engagement managed via Salesforce metadata; does not support arbitrary self-hosted runtime deployment.,"Agents can be deployed across multiple channels (Salesforce Omni-Channel, Service Cloud, Experience Cloud, Slack, WhatsApp, SMS, mobile apps, web chat) and moved across sandbox, scratch, and production orgs via Agentforce DX metadata deployment.",Technical documentation and developer guides,1](https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx.html) ; [2](https://help.salesforce.com/s/articleView?language=en_US&id=ai.service_agent_escalation.htm&type=5),High,Supports multi-channel engagement managed via Salesforce metadata; does not support arbitrary self-hosted runtime deployment.
E0079,V005,Salesforce,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Native MuleSoft ecosystem connectivity provides extensive enterprise API management and orchestration.,"Agents connect to third-party tools and enterprise systems using MuleSoft Anypoint integration, Salesforce External Services via OpenAPI specifications, standard Apex classes, Flow HTTP callouts, and Model Context Protocol (MCP) solutions.",Technical documentation and developer guides,1](https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-actions.html) ; [2](https://www.salesforce.com/in/agentforce/dev-tools/),High,Native MuleSoft ecosystem connectivity provides extensive enterprise API management and orchestration.
E0080,V005,Salesforce,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Comprehensive trust pipeline respecting granular Salesforce role-based permissions and data residency.,"Executed natively within Salesforce Hyperforce, the Einstein Trust Layer enforces dynamic PII data masking, toxicity detection, CRM data grounding, audit logging, configurable guardrails, and contractual zero-data-retention agreements with third-party model providers.",Technical documentation and developer guides,1](https://help.salesforce.com/s/articleView?id=sf.copilot_trust.htm&language=en_US&type=5) ; [2](https://developer.salesforce.com/docs/ai/agentforce/guide/trust.html),High,Comprehensive trust pipeline respecting granular Salesforce role-based permissions and data residency.
E0081,V005,Salesforce,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Enforces pre-action user confirmations and transparent context handover during human escalation.,"Agentforce actions can require explicit user confirmation before execution. Additionally, native Omni-Channel routing and Agent Script escalation routines support seamless transfer of unresolved interactions to human service representatives with full conversation context.",Official Documentation,1](https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-actions.html) ; [2](https://help.salesforce.com/s/articleView?language=en_US&id=ai.service_agent_escalation.htm&type=5),High,Enforces pre-action user confirmations and transparent context handover during human escalation.
E0082,V005,Salesforce,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Provides operational trace and source citation transparency; not formal model-feature attribution or causal explainability.,"Agentforce Observability delivers Session Tracing data models, step-by-step reasoning logs, topic quality scores, deflection/escalation analytics, and Agentforce Testing Center evaluation scores, queryable via Data Cloud and visualized in Tableau.",Official Documentation,1](https://help.salesforce.com/s/articleView?id=ai.generative_ai_session_trace_data_model.htm) ; [2](https://help.salesforce.com/s/articleView?id=005226932&language=en_US&type=1),High,Provides operational trace and source citation transparency; not formal model-feature attribution or causal explainability.
E0083,V005,Salesforce,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Deep domain integration across Salesforce clouds and extensive cross-industry operational workflows.,"Provides out-of-the-box domain-specific agents mapping directly to CRM and business operations, including Agentforce Service Agent, Sales Development Representative (SDR), Sales Coach, Commerce Agent, and Campaign Optimizer across sales, marketing, service, finance, and healthcare.",Technical documentation and developer guides,1](https://developer.salesforce.com/blogs/2025/07/best-practices-for-building-agentforce-apex-actions) ; [2](https://help.salesforce.com/s/articleView?id=release-notes.rn_einstein_copilot.htm&language=en_US&release=252&type=5),High,Deep domain integration across Salesforce clouds and extensive cross-industry operational workflows.
